colour	showSelected1	showSelected3	group
#59D715	1-1	Region	1
#59D715	1-10	Region	2
#59D715	1-11	Region	3
#59D715	1-12	Region	4
#59D715	1-13	Region	5
#59D715	1-14	Region	6
#59D715	1-15	Region	7
#59D715	1-16	Region	8
#59D715	1-17	Region	9
#59D715	1-18	Region	10
#59D715	1-19	Region	11
#59D715	1-2	Region	12
#59D715	1-20	Region	13
#59D715	1-21	Region	14
#59D715	1-22	Region	15
#59D715	1-23	Region	16
#59D715	1-24	Region	17
#59D715	1-3	Region	18
#59D715	1-4	Region	19
#59D715	1-5	Region	20
#59D715	1-6	Region	21
#59D715	1-7	Region	22
#59D715	1-8	Region	23
#59D715	1-9	Region	24
#59D715	10-1	Region	25
#59D715	10-10	Region	26
#59D715	10-11	Region	27
#59D715	10-12	Region	28
#59D715	10-13	Region	29
#59D715	10-14	Region	30
#59D715	10-15	Region	31
#59D715	10-16	Region	32
#59D715	10-17	Region	33
#59D715	10-18	Region	34
#59D715	10-19	Region	35
#59D715	10-2	Region	36
#59D715	10-20	Region	37
#59D715	10-21	Region	38
#59D715	10-22	Region	39
#59D715	10-23	Region	40
#59D715	10-24	Region	41
#59D715	10-3	Region	42
#59D715	10-4	Region	43
#59D715	10-5	Region	44
#59D715	10-6	Region	45
#59D715	10-7	Region	46
#59D715	10-8	Region	47
#59D715	10-9	Region	48
#59D715	11-1	Region	49
#59D715	11-10	Region	50
#59D715	11-11	Region	51
#59D715	11-12	Region	52
#59D715	11-13	Region	53
#59D715	11-14	Region	54
#59D715	11-15	Region	55
#59D715	11-16	Region	56
#59D715	11-17	Region	57
#59D715	11-18	Region	58
#59D715	11-19	Region	59
#59D715	11-2	Region	60
#59D715	11-20	Region	61
#59D715	11-21	Region	62
#59D715	11-22	Region	63
#59D715	11-23	Region	64
#59D715	11-24	Region	65
#59D715	11-3	Region	66
#59D715	11-4	Region	67
#59D715	11-5	Region	68
#59D715	11-6	Region	69
#59D715	11-7	Region	70
#59D715	11-8	Region	71
#59D715	11-9	Region	72
#59D715	12-1	Region	73
#59D715	12-10	Region	74
#59D715	12-11	Region	75
#59D715	12-12	Region	76
#59D715	12-13	Region	77
#59D715	12-14	Region	78
#59D715	12-15	Region	79
#59D715	12-16	Region	80
#59D715	12-17	Region	81
#59D715	12-18	Region	82
#59D715	12-19	Region	83
#59D715	12-2	Region	84
#59D715	12-20	Region	85
#59D715	12-21	Region	86
#59D715	12-22	Region	87
#59D715	12-23	Region	88
#59D715	12-24	Region	89
#59D715	12-3	Region	90
#59D715	12-4	Region	91
#59D715	12-5	Region	92
#59D715	12-6	Region	93
#59D715	12-7	Region	94
#59D715	12-8	Region	95
#59D715	12-9	Region	96
#59D715	13-1	Region	97
#59D715	13-10	Region	98
#59D715	13-11	Region	99
#59D715	13-12	Region	100
#59D715	13-13	Region	101
#59D715	13-14	Region	102
#59D715	13-15	Region	103
#59D715	13-16	Region	104
#59D715	13-17	Region	105
#59D715	13-18	Region	106
#59D715	13-19	Region	107
#59D715	13-2	Region	108
#59D715	13-20	Region	109
#59D715	13-21	Region	110
#59D715	13-22	Region	111
#59D715	13-23	Region	112
#59D715	13-24	Region	113
#59D715	13-3	Region	114
#59D715	13-4	Region	115
#59D715	13-5	Region	116
#59D715	13-6	Region	117
#59D715	13-7	Region	118
#59D715	13-8	Region	119
#59D715	13-9	Region	120
#59D715	14-1	Region	121
#59D715	14-10	Region	122
#59D715	14-11	Region	123
#59D715	14-12	Region	124
#59D715	14-13	Region	125
#59D715	14-14	Region	126
#59D715	14-15	Region	127
#59D715	14-16	Region	128
#59D715	14-17	Region	129
#59D715	14-18	Region	130
#59D715	14-19	Region	131
#59D715	14-2	Region	132
#59D715	14-20	Region	133
#59D715	14-21	Region	134
#59D715	14-22	Region	135
#59D715	14-23	Region	136
#59D715	14-24	Region	137
#59D715	14-3	Region	138
#59D715	14-4	Region	139
#59D715	14-5	Region	140
#59D715	14-6	Region	141
#59D715	14-7	Region	142
#59D715	14-8	Region	143
#59D715	14-9	Region	144
#59D715	15-1	Region	145
#59D715	15-10	Region	146
#59D715	15-11	Region	147
#59D715	15-12	Region	148
#59D715	15-13	Region	149
#59D715	15-14	Region	150
#59D715	15-15	Region	151
#59D715	15-16	Region	152
#59D715	15-17	Region	153
#59D715	15-18	Region	154
#59D715	15-19	Region	155
#59D715	15-2	Region	156
#59D715	15-20	Region	157
