y	x	group	clickSelects
24.3	1995	1	1-1
25.6	1995.08493150685	1	1-1
25.2	1995.16164383562	1	1-1
25.6	1995.24657534247	1	1-1
25.2	1995.32876712329	1	1-1
21.9	1995.41369863014	1	1-1
22.4	1995.49589041096	1	1-1
21.5	1995.58082191781	1	1-1
21.9	1995.66575342466	1	1-1
21.9	1995.74794520548	1	1-1
21.9	1995.83287671233	1	1-1
23.8	1995.91506849315	1	1-1
23.8	1996	1	1-1
24.3	1996.08469945355	1	1-1
24.7	1996.16393442623	1	1-1
23.8	1996.24863387978	1	1-1
23.4	1996.3306010929	1	1-1
22.9	1996.41530054645	1	1-1
21.9	1996.49726775956	1	1-1
21	1996.58196721311	1	1-1
21	1996.66666666667	1	1-1
21.9	1996.74863387978	1	1-1
22.4	1996.83333333333	1	1-1
22.9	1996.91530054645	1	1-1
23.8	1997	1	1-1
24.3	1997.08493150685	1	1-1
26.5	1997.16164383562	1	1-1
25.6	1997.24657534247	1	1-1
23.8	1997.32876712329	1	1-1
23.4	1997.41369863014	1	1-1
22.4	1997.49589041096	1	1-1
22.4	1997.58082191781	1	1-1
21.5	1997.66575342466	1	1-1
21.5	1997.74794520548	1	1-1
23.4	1997.83287671233	1	1-1
23.4	1997.91506849315	1	1-1
23.8	1998	1	1-1
26.1	1998.08493150685	1	1-1
27	1998.16164383562	1	1-1
24.7	1998.24657534247	1	1-1
24.3	1998.32876712329	1	1-1
22.4	1998.41369863014	1	1-1
21.9	1998.49589041096	1	1-1
21	1998.58082191781	1	1-1
21	1998.66575342466	1	1-1
21	1998.74794520548	1	1-1
22.4	1998.83287671233	1	1-1
23.4	1998.91506849315	1	1-1
23.8	1999	1	1-1
23.8	1999.08493150685	1	1-1
23.4	1999.16164383562	1	1-1
23.4	1999.24657534247	1	1-1
23.4	1999.32876712329	1	1-1
22.9	1999.41369863014	1	1-1
21.5	1999.49589041096	1	1-1
21.5	1999.58082191781	1	1-1
21.5	1999.66575342466	1	1-1
21	1999.74794520548	1	1-1
22.4	1999.83287671233	1	1-1
22.9	1999.91506849315	1	1-1
23.8	2000	1	1-1
24.7	2000.08469945355	1	1-1
24.7	2000.16393442623	1	1-1
24.7	2000.24863387978	1	1-1
23.4	2000.3306010929	1	1-1
21.9	2000.41530054645	1	1-1
21.9	2000.49726775956	1	1-1
21	2000.58196721312	1	1-1
21	2000.66666666667	1	1-1
22.4	2000.74863387978	1	1-1
23.8	2000.83333333333	1	1-1
25.2	2000.91530054645	1	1-1
24.7	1995	2	1-10
25.6	1995.08493150685	2	1-10
24.3	1995.16164383562	2	1-10
25.2	1995.24657534247	2	1-10
26.1	1995.32876712329	2	1-10
24.7	1995.41369863014	2	1-10
23.4	1995.49589041096	2	1-10
21	1995.58082191781	2	1-10
22.4	1995.66575342466	2	1-10
21.9	1995.74794520548	2	1-10
21.5	1995.83287671233	2	1-10
21.9	1995.91506849315	2	1-10
21.9	1996	2	1-10
24.7	1996.08469945355	2	1-10
26.1	1996.16393442623	2	1-10
26.1	1996.24863387978	2	1-10
24.7	1996.3306010929	2	1-10
24.3	1996.41530054645	2	1-10
23.8	1996.49726775956	2	1-10
22.4	1996.58196721311	2	1-10
22.9	1996.66666666667	2	1-10
22.4	1996.74863387978	2	1-10
22.4	1996.83333333333	2	1-10
21.5	1996.91530054645	2	1-10
22.9	1997	2	1-10
24.3	1997.08493150685	2	1-10
27	1997.16164383562	2	1-10
27.4	1997.24657534247	2	1-10
25.6	1997.32876712329	2	1-10
27	1997.41369863014	2	1-10
26.5	1997.49589041096	2	1-10
27.4	1997.58082191781	2	1-10
25.6	1997.66575342466	2	1-10
27.4	1997.74794520548	2	1-10
28.3	1997.83287671233	2	1-10
28.3	1997.91506849315	2	1-10
28.3	1998	2	1-10
28.3	1998.08493150685	2	1-10
28.8	1998.16164383562	2	1-10
28.8	1998.24657534247	2	1-10
27	1998.32876712329	2	1-10
24.7	1998.41369863014	2	1-10
23.8	1998.49589041096	2	1-10
