y	x	clickSelects	showSelected1	group
0.416666666666668	1995	1-1	1-1	1
0.800000000000001	1995.08493150685	1-1	1-1	1
-0.0500000000000007	1995.16164383562	1-1	1-1	1
0.966666666666658	1995.24657534247	1-1	1-1	1
1.28333333333335	1995.32876712329	1-1	1-1	1
-0.666666666666668	1995.41369863014	1-1	1-1	1
0.399999999999995	1995.49589041096	1-1	1-1	1
0.100000000000005	1995.58082191781	1-1	1-1	1
0.583333333333314	1995.66575342466	1-1	1-1	1
0.283333333333321	1995.74794520548	1-1	1-1	1
-0.816666666666663	1995.83287671233	1-1	1-1	1
0.199999999999978	1995.91506849315	1-1	1-1	1
-0.0833333333333322	1996	1-1	1-1	1
-0.500000000000011	1996.08469945355	1-1	1-1	1
-0.550000000000001	1996.16393442623	1-1	1-1	1
-0.833333333333354	1996.24863387978	1-1	1-1	1
-0.516666666666662	1996.3306010929	1-1	1-1	1
0.333333333333332	1996.41530054645	1-1	1-1	1
-0.100000000000005	1996.49726775956	1-1	1-1	1
-0.399999999999995	1996.58196721311	1-1	1-1	1
-0.316666666666663	1996.66666666667	1-1	1-1	1
0.283333333333321	1996.74863387978	1-1	1-1	1
-0.316666666666663	1996.83333333333	1-1	1-1	1
-0.699999999999999	1996.91530054645	1-1	1-1	1
-0.0833333333333322	1997	1-1	1-1	1
-0.500000000000011	1997.08493150685	1-1	1-1	1
1.25000000000001	1997.16164383562	1-1	1-1	1
0.966666666666658	1997.24657534247	1-1	1-1	1
-0.116666666666685	1997.32876712329	1-1	1-1	1
0.833333333333332	1997.41369863014	1-1	1-1	1
0.399999999999995	1997.49589041096	1-1	1-1	1
0.999999999999982	1997.58082191781	1-1	1-1	1
0.183333333333337	1997.66575342466	1-1	1-1	1
-0.116666666666656	1997.74794520548	1-1	1-1	1
0.683333333333337	1997.83287671233	1-1	1-1	1
-0.199999999999999	1997.91506849315	1-1	1-1	1
-0.0833333333333322	1998	1-1	1-1	1
1.3	1998.08493150685	1-1	1-1	1
1.75000000000001	1998.16164383562	1-1	1-1	1
0.0666666666666806	1998.24657534247	1-1	1-1	1
0.383333333333315	1998.32876712329	1-1	1-1	1
-0.166666666666668	1998.41369863014	1-1	1-1	1
-0.100000000000005	1998.49589041096	1-1	1-1	1
-0.399999999999995	1998.58082191781	1-1	1-1	1
-0.316666666666663	1998.66575342466	1-1	1-1	1
-0.616666666666657	1998.74794520548	1-1	1-1	1
-0.316666666666663	1998.83287671233	1-1	1-1	1
-0.199999999999999	1998.91506849315	1-1	1-1	1
-0.0833333333333322	1999	1-1	1-1	1
-1.00000000000001	1999.08493150685	1-1	1-1	1
-1.85000000000001	1999.16164383562	1-1	1-1	1
-1.23333333333333	1999.24657534247	1-1	1-1	1
-0.516666666666662	1999.32876712329	1-1	1-1	1
0.333333333333332	1999.41369863014	1-1	1-1	1
-0.499999999999982	1999.49589041096	1-1	1-1	1
0.100000000000005	1999.58082191781	1-1	1-1	1
0.183333333333337	1999.66575342466	1-1	1-1	1
-0.616666666666657	1999.74794520548	1-1	1-1	1
-0.316666666666663	1999.83287671233	1-1	1-1	1
-0.699999999999999	1999.91506849315	1-1	1-1	1
-0.0833333333333322	2000	1-1	1-1	1
-0.0999999999999766	2000.08469945355	1-1	1-1	1
-0.550000000000001	2000.16393442623	1-1	1-1	1
0.0666666666666806	2000.24863387978	1-1	1-1	1
-0.516666666666662	2000.3306010929	1-1	1-1	1
-0.666666666666668	2000.41530054645	1-1	1-1	1
-0.100000000000005	2000.49726775956	1-1	1-1	1
-0.399999999999995	2000.58196721312	1-1	1-1	1
-0.316666666666663	2000.66666666667	1-1	1-1	1
0.783333333333321	2000.74863387978	1-1	1-1	1
1.08333333333331	2000.83333333333	1-1	1-1	1
1.60000000000001	2000.91530054645	1-1	1-1	1
1.16666666666668	1995	1-10	1-10	2
0.433333333333337	1995.08493150685	1-10	1-10	2
-1.71666666666669	1995.16164383562	1-10	1-10	2
-1.09999999999998	1995.24657534247	1-10	1-10	2
0.766666666666662	1995.32876712329	1-10	1-10	2
0.0500000000000114	1995.41369863014	1-10	1-10	2
-0.399999999999995	1995.49589041096	1-10	1-10	2
-1.99999999999998	1995.58082191781	1-10	1-10	2
-0.150000000000006	1995.66575342466	1-10	1-10	2
-0.933333333333337	1995.74794520548	1-10	1-10	2
-1.33333333333331	1995.83287671233	1-10	1-10	2
-0.700000000000006	1995.91506849315	1-10	1-10	2
-1.63333333333334	1996	1-10	1-10	2
-0.46666666666664	1996.08469945355	1-10	1-10	2
0.083333333333325	1996.16393442623	1-10	1-10	2
-0.200000000000006	1996.24863387978	1-10	1-10	2
-0.633333333333315	1996.3306010929	1-10	1-10	2
-0.350000000000023	1996.41530054645	1-10	1-10	2
-1.77635683940025e-14	1996.49726775956	1-10	1-10	2
-0.600000000000005	1996.58196721311	1-10	1-10	2
0.349999999999994	1996.66666666667	1-10	1-10	2
-0.433333333333337	1996.74863387978	1-10	1-10	2
-0.433333333333337	1996.83333333333	1-10	1-10	2
-1.09999999999998	1996.91530054645	1-10	1-10	2
-0.633333333333336	1997	1-10	1-10	2
-0.866666666666674	1997.08493150685	1-10	1-10	2
0.983333333333359	1997.16164383562	1-10	1-10	2
1.10000000000001	1997.24657534247	1-10	1-10	2
0.266666666666662	1997.32876712329	1-10	1-10	2
2.35000000000002	1997.41369863014	1-10	1-10	2
2.70000000000003	1997.49589041096	1-10	1-10	2
4.4	1997.58082191781	1-10	1-10	2
3.04999999999998	1997.66575342466	1-10	1-10	2
4.56666666666666	1997.74794520548	1-10	1-10	2
5.46666666666664	1997.83287671233	1-10	1-10	2
5.69999999999997	1997.91506849315	1-10	1-10	2
4.76666666666664	1998	1-10	1-10	2
3.13333333333333	1998.08493150685	1-10	1-10	2
2.78333333333331	1998.16164383562	1-10	1-10	2
2.49999999999998	1998.24657534247	1-10	1-10	2
1.6666666666667	1998.32876712329	1-10	1-10	2
0.0500000000000114	1998.41369863014	1-10	1-10	2
-1.77635683940025e-14	1998.49589041096	1-10	1-10	2
-0.600000000000005	1998.58082191781	1-10	1-10	2
-1.04999999999998	1998.66575342466	1-10	1-10	2
-1.83333333333331	1998.74794520548	1-10	1-10	2
-0.933333333333337	1998.83287671233	1-10	1-10	2
-1.59999999999998	1998.91506849315	1-10	1-10	2
-1.63333333333334	1999	1-10	1-10	2
-0.866666666666674	1999.08493150685	1-10	1-10	2
-1.31666666666665	1999.16164383562	1-10	1-10	2
-1.59999999999998	1999.24657534247	1-10	1-10	2
-1.03333333333335	1999.32876712329	1-10	1-10	2
-0.850000000000023	1999.41369863014	1-10	1-10	2
-0.899999999999995	1999.49589041096	1-10	1-10	2
-0.100000000000005	1999.58082191781	1-10	1-10	2
-1.54999999999998	1999.66575342466	1-10	1-10	2
-0.933333333333337	1999.74794520548	1-10	1-10	2
-2.33333333333331	1999.83287671233	1-10	1-10	2
-1.59999999999998	1999.91506849315	1-10	1-10	2
-2.03333333333331	2000	1-10	1-10	2
-1.36666666666667	2000.08469945355	1-10	1-10	2
-0.816666666666652	2000.16393442623	1-10	1-10	2
-0.700000000000006	2000.24863387978	1-10	1-10	2
-1.03333333333335	2000.3306010929	1-10	1-10	2
-1.25	2000.41530054645	1-10	1-10	2
-1.4	2000.49726775956	1-10	1-10	2
-1.10000000000001	2000.58196721312	1-10	1-10	2
-0.650000000000006	2000.66666666667	1-10	1-10	2
-0.433333333333337	2000.74863387978	1-10	1-10	2
-0.433333333333337	2000.83333333333	1-10	1-10	2
-0.700000000000006	2000.91530054645	1-10	1-10	2
1.26666666666666	1995	1-11	1-11	3
0.616666666666664	1995.08493150685	1-11	1-11	3
-0.916666666666675	1995.16164383562	1-11	1-11	3
-1.25	1995.24657534247	1-11	1-11	3
0.199999999999989	1995.32876712329	1-11	1-11	3
0.0999999999999837	1995.41369863014	1-11	1-11	3
-0.916666666666686	1995.49589041096	1-11	1-11	3
-2.2	1995.58082191781	1-11	1-11	3
-0.550000000000011	1995.66575342466	1-11	1-11	3
-1.79999999999999	1995.74794520548	1-11	1-11	3
-0.300000000000022	1995.83287671233	1-11	1-11	3
-0.766666666666669	1995.91506849315	1-11	1-11	3
-0.933333333333326	1996	1-11	1-11	3
0.116666666666664	1996.08469945355	1-11	1-11	3
0.883333333333336	1996.16393442623	1-11	1-11	3
0.949999999999989	1996.24863387978	1-11	1-11	3
-0.199999999999989	1996.3306010929	1-11	1-11	3
0.500000000000018	1996.41530054645	1-11	1-11	3
-0.0166666666666515	1996.49726775956	1-11	1-11	3
-0.300000000000022	1996.58196721311	1-11	1-11	3
-0.0500000000000114	1996.66666666667	1-11	1-11	3
0.0999999999999837	1996.74863387978	1-11	1-11	3
-1.2	1996.83333333333	1-11	1-11	3
-0.766666666666669	1996.91530054645	1-11	1-11	3
-0.533333333333349	1997	1-11	1-11	3
-1.18333333333335	1997.08493150685	1-11	1-11	3
1.38333333333334	1997.16164383562	1-11	1-11	3
1.85000000000002	1997.24657534247	1-11	1-11	3
-0.699999999999989	1997.32876712329	1-11	1-11	3
1.00000000000002	1997.41369863014	1-11	1-11	3
2.28333333333336	1997.49589041096	1-11	1-11	3
3.3	1997.58082191781	1-11	1-11	3
3.05000000000001	1997.66575342466	1-11	1-11	3
3.70000000000001	1997.74794520548	1-11	1-11	3
5.10000000000001	1997.83287671233	1-11	1-11	3
4.73333333333333	1997.91506849315	1-11	1-11	3
3.06666666666667	1998	1-11	1-11	3
2.41666666666668	1998.08493150685	1-11	1-11	3
0.483333333333359	1998.16164383562	1-11	1-11	3
0.949999999999989	1998.24657534247	1-11	1-11	3
2	1998.32876712329	1-11	1-11	3
0.500000000000018	1998.41369863014	1-11	1-11	3
1.38333333333333	1998.49589041096	1-11	1-11	3
1.10000000000001	1998.58082191781	1-11	1-11	3
-0.949999999999989	1998.66575342466	1-11	1-11	3
