x	y	label	key	showSelected1	group
20	-7	all times for region 1-1	all times for region 1-1	1-1	1
20	-7	all times for region 1-10	all times for region 1-10	1-10	2
20	-7	all times for region 1-11	all times for region 1-11	1-11	3
20	-7	all times for region 1-12	all times for region 1-12	1-12	4
20	-7	all times for region 1-13	all times for region 1-13	1-13	5
20	-7	all times for region 1-14	all times for region 1-14	1-14	6
20	-7	all times for region 1-15	all times for region 1-15	1-15	7
20	-7	all times for region 1-16	all times for region 1-16	1-16	8
20	-7	all times for region 1-17	all times for region 1-17	1-17	9
20	-7	all times for region 1-18	all times for region 1-18	1-18	10
20	-7	all times for region 1-19	all times for region 1-19	1-19	11
20	-7	all times for region 1-2	all times for region 1-2	1-2	12
20	-7	all times for region 1-20	all times for region 1-20	1-20	13
20	-7	all times for region 1-21	all times for region 1-21	1-21	14
20	-7	all times for region 1-22	all times for region 1-22	1-22	15
20	-7	all times for region 1-23	all times for region 1-23	1-23	16
20	-7	all times for region 1-24	all times for region 1-24	1-24	17
20	-7	all times for region 1-3	all times for region 1-3	1-3	18
20	-7	all times for region 1-4	all times for region 1-4	1-4	19
20	-7	all times for region 1-5	all times for region 1-5	1-5	20
20	-7	all times for region 1-6	all times for region 1-6	1-6	21
20	-7	all times for region 1-7	all times for region 1-7	1-7	22
20	-7	all times for region 1-8	all times for region 1-8	1-8	23
20	-7	all times for region 1-9	all times for region 1-9	1-9	24
20	-7	all times for region 10-1	all times for region 10-1	10-1	25
20	-7	all times for region 10-10	all times for region 10-10	10-10	26
20	-7	all times for region 10-11	all times for region 10-11	10-11	27
20	-7	all times for region 10-12	all times for region 10-12	10-12	28
20	-7	all times for region 10-13	all times for region 10-13	10-13	29
20	-7	all times for region 10-14	all times for region 10-14	10-14	30
20	-7	all times for region 10-15	all times for region 10-15	10-15	31
20	-7	all times for region 10-16	all times for region 10-16	10-16	32
20	-7	all times for region 10-17	all times for region 10-17	10-17	33
20	-7	all times for region 10-18	all times for region 10-18	10-18	34
20	-7	all times for region 10-19	all times for region 10-19	10-19	35
20	-7	all times for region 10-2	all times for region 10-2	10-2	36
20	-7	all times for region 10-20	all times for region 10-20	10-20	37
20	-7	all times for region 10-21	all times for region 10-21	10-21	38
20	-7	all times for region 10-22	all times for region 10-22	10-22	39
20	-7	all times for region 10-23	all times for region 10-23	10-23	40
20	-7	all times for region 10-24	all times for region 10-24	10-24	41
20	-7	all times for region 10-3	all times for region 10-3	10-3	42
20	-7	all times for region 10-4	all times for region 10-4	10-4	43
20	-7	all times for region 10-5	all times for region 10-5	10-5	44
20	-7	all times for region 10-6	all times for region 10-6	10-6	45
20	-7	all times for region 10-7	all times for region 10-7	10-7	46
20	-7	all times for region 10-8	all times for region 10-8	10-8	47
20	-7	all times for region 10-9	all times for region 10-9	10-9	48
20	-7	all times for region 11-1	all times for region 11-1	11-1	49
20	-7	all times for region 11-10	all times for region 11-10	11-10	50
20	-7	all times for region 11-11	all times for region 11-11	11-11	51
20	-7	all times for region 11-12	all times for region 11-12	11-12	52
20	-7	all times for region 11-13	all times for region 11-13	11-13	53
20	-7	all times for region 11-14	all times for region 11-14	11-14	54
20	-7	all times for region 11-15	all times for region 11-15	11-15	55
20	-7	all times for region 11-16	all times for region 11-16	11-16	56
20	-7	all times for region 11-17	all times for region 11-17	11-17	57
20	-7	all times for region 11-18	all times for region 11-18	11-18	58
20	-7	all times for region 11-19	all times for region 11-19	11-19	59
20	-7	all times for region 11-2	all times for region 11-2	11-2	60
20	-7	all times for region 11-20	all times for region 11-20	11-20	61
20	-7	all times for region 11-21	all times for region 11-21	11-21	62
20	-7	all times for region 11-22	all times for region 11-22	11-22	63
20	-7	all times for region 11-23	all times for region 11-23	11-23	64
20	-7	all times for region 11-24	all times for region 11-24	11-24	65
20	-7	all times for region 11-3	all times for region 11-3	11-3	66
20	-7	all times for region 11-4	all times for region 11-4	11-4	67
20	-7	all times for region 11-5	all times for region 11-5	11-5	68
20	-7	all times for region 11-6	all times for region 11-6	11-6	69
20	-7	all times for region 11-7	all times for region 11-7	11-7	70
20	-7	all times for region 11-8	all times for region 11-8	11-8	71
20	-7	all times for region 11-9	all times for region 11-9	11-9	72
20	-7	all times for region 12-1	all times for region 12-1	12-1	73
20	-7	all times for region 12-10	all times for region 12-10	12-10	74
20	-7	all times for region 12-11	all times for region 12-11	12-11	75
20	-7	all times for region 12-12	all times for region 12-12	12-12	76
20	-7	all times for region 12-13	all times for region 12-13	12-13	77
20	-7	all times for region 12-14	all times for region 12-14	12-14	78
20	-7	all times for region 12-15	all times for region 12-15	12-15	79
20	-7	all times for region 12-16	all times for region 12-16	12-16	80
20	-7	all times for region 12-17	all times for region 12-17	12-17	81
20	-7	all times for region 12-18	all times for region 12-18	12-18	82
20	-7	all times for region 12-19	all times for region 12-19	12-19	83
20	-7	all times for region 12-2	all times for region 12-2	12-2	84
20	-7	all times for region 12-20	all times for region 12-20	12-20	85
20	-7	all times for region 12-21	all times for region 12-21	12-21	86
20	-7	all times for region 12-22	all times for region 12-22	12-22	87
20	-7	all times for region 12-23	all times for region 12-23	12-23	88
20	-7	all times for region 12-24	all times for region 12-24	12-24	89
20	-7	all times for region 12-3	all times for region 12-3	12-3	90
20	-7	all times for region 12-4	all times for region 12-4	12-4	91
20	-7	all times for region 12-5	all times for region 12-5	12-5	92
20	-7	all times for region 12-6	all times for region 12-6	12-6	93
20	-7	all times for region 12-7	all times for region 12-7	12-7	94
20	-7	all times for region 12-8	all times for region 12-8	12-8	95
20	-7	all times for region 12-9	all times for region 12-9	12-9	96
20	-7	all times for region 13-1	all times for region 13-1	13-1	97
20	-7	all times for region 13-10	all times for region 13-10	13-10	98
20	-7	all times for region 13-11	all times for region 13-11	13-11	99
20	-7	all times for region 13-12	all times for region 13-12	13-12	100
20	-7	all times for region 13-13	all times for region 13-13	13-13	101
20	-7	all times for region 13-14	all times for region 13-14	13-14	102
20	-7	all times for region 13-15	all times for region 13-15	13-15	103
20	-7	all times for region 13-16	all times for region 13-16	13-16	104
20	-7	all times for region 13-17	all times for region 13-17	13-17	105
20	-7	all times for region 13-18	all times for region 13-18	13-18	106
20	-7	all times for region 13-19	all times for region 13-19	13-19	107
20	-7	all times for region 13-2	all times for region 13-2	13-2	108
20	-7	all times for region 13-20	all times for region 13-20	13-20	109
20	-7	all times for region 13-21	all times for region 13-21	13-21	110
20	-7	all times for region 13-22	all times for region 13-22	13-22	111
20	-7	all times for region 13-23	all times for region 13-23	13-23	112
20	-7	all times for region 13-24	all times for region 13-24	13-24	113
20	-7	all times for region 13-3	all times for region 13-3	13-3	114
20	-7	all times for region 13-4	all times for region 13-4	13-4	115
20	-7	all times for region 13-5	all times for region 13-5	13-5	116
20	-7	all times for region 13-6	all times for region 13-6	13-6	117
20	-7	all times for region 13-7	all times for region 13-7	13-7	118
20	-7	all times for region 13-8	all times for region 13-8	13-8	119
20	-7	all times for region 13-9	all times for region 13-9	13-9	120
20	-7	all times for region 14-1	all times for region 14-1	14-1	121
20	-7	all times for region 14-10	all times for region 14-10	14-10	122
20	-7	all times for region 14-11	all times for region 14-11	14-11	123
20	-7	all times for region 14-12	all times for region 14-12	14-12	124
20	-7	all times for region 14-13	all times for region 14-13	14-13	125
20	-7	all times for region 14-14	all times for region 14-14	14-14	126
20	-7	all times for region 14-15	all times for region 14-15	14-15	127
20	-7	all times for region 14-16	all times for region 14-16	14-16	128
20	-7	all times for region 14-17	all times for region 14-17	14-17	129
20	-7	all times for region 14-18	all times for region 14-18	14-18	130
20	-7	all times for region 14-19	all times for region 14-19	14-19	131
20	-7	all times for region 14-2	all times for region 14-2	14-2	132
20	-7	all times for region 14-20	all times for region 14-20	14-20	133
20	-7	all times for region 14-21	all times for region 14-21	14-21	134
20	-7	all times for region 14-22	all times for region 14-22	14-22	135
20	-7	all times for region 14-23	all times for region 14-23	14-23	136
20	-7	all times for region 14-24	all times for region 14-24	14-24	137
20	-7	all times for region 14-3	all times for region 14-3	14-3	138
20	-7	all times for region 14-4	all times for region 14-4	14-4	139
20	-7	all times for region 14-5	all times for region 14-5	14-5	140
20	-7	all times for region 14-6	all times for region 14-6	14-6	141
20	-7	all times for region 14-7	all times for region 14-7	14-7	142
20	-7	all times for region 14-8	all times for region 14-8	14-8	143
20	-7	all times for region 14-9	all times for region 14-9	14-9	144
20	-7	all times for region 15-1	all times for region 15-1	15-1	145
20	-7	all times for region 15-10	all times for region 15-10	15-10	146
20	-7	all times for region 15-11	all times for region 15-11	15-11	147
20	-7	all times for region 15-12	all times for region 15-12	15-12	148
20	-7	all times for region 15-13	all times for region 15-13	15-13	149
20	-7	all times for region 15-14	all times for region 15-14	15-14	150
20	-7	all times for region 15-15	all times for region 15-15	15-15	151
20	-7	all times for region 15-16	all times for region 15-16	15-16	152
20	-7	all times for region 15-17	all times for region 15-17	15-17	153
20	-7	all times for region 15-18	all times for region 15-18	15-18	154
20	-7	all times for region 15-19	all times for region 15-19	15-19	155
20	-7	all times for region 15-2	all times for region 15-2	15-2	156
20	-7	all times for region 15-20	all times for region 15-20	15-20	157
20	-7	all times for region 15-21	all times for region 15-21	15-21	158
20	-7	all times for region 15-22	all times for region 15-22	15-22	159
20	-7	all times for region 15-23	all times for region 15-23	15-23	160
20	-7	all times for region 15-24	all times for region 15-24	15-24	161
20	-7	all times for region 15-3	all times for region 15-3	15-3	162
