group	x	y
1	23.4	0.933333333333326
2	22.4	-0.483333333333338
3	25.2	1.70000000000001
4	24.3	1.19999999999998
5	23.4	0.766666666666669
6	21	0.583333333333361
7	18.1	-1.21666666666668
8	19.1	-0.466666666666669
9	18.1	-0.883333333333336
10	18.1	-1.21666666666667
11	19.1	-1.18333333333334
12	21.5	-0.133333333333326
13	21	-1.46666666666665
14	23.4	0.516666666666662
15	22.4	-1.10000000000001
16	22.4	-0.699999999999999
17	22.4	-0.233333333333331
18	18.1	-2.31666666666667
19	16.7	-2.61666666666666
20	18.1	-1.46666666666667
21	18.1	-0.883333333333336
22	17.6	-1.71666666666667
23	18.6	-1.68333333333334
24	20.1	-1.53333333333336
25	20.5	-1.96666666666665
26	23.4	0.516666666666662
27	23.4	-0.100000000000005
28	23.4	0.300000000000001
29	23.8	1.16666666666665
30	24.3	3.88333333333332
31	23.4	4.08333333333333
32	22.9	3.33333333333334
33	22.4	3.41666666666668
34	22.4	3.08333333333334
35	23.8	3.51666666666665
36	25.2	3.56666666666666
37	26.1	3.63333333333332
38	25.2	2.31666666666667
39	26.1	2.59999999999998
40	25.6	2.49999999999999
41	25.6	2.96666666666666
42	22.4	1.98333333333334
43	21	1.68333333333336
44	20.1	0.533333333333331
45	19.1	0.116666666666664
46	19.1	-0.216666666666669
47	20.1	-0.183333333333337
48	21.5	-0.133333333333326
49	21.9	-0.566666666666674
50	21	-1.88333333333332
51	22.4	-1.10000000000001
52	21	-2.09999999999998
53	20.5	-2.13333333333331
54	18.6	-1.81666666666667
55	18.6	-0.716666666666679
56	18.1	-1.46666666666667
57	17.6	-1.38333333333334
58	18.6	-0.716666666666669
59	19.6	-0.683333333333337
60	21	-0.633333333333326
61	21.9	-0.566666666666674
62	21.9	-0.983333333333338
63	21.5	-1.99999999999998
64	21.9	-1.2
65	20.1	-2.53333333333334
66	18.1	-2.31666666666667
67	18.1	-1.21666666666668
68	19.1	-0.466666666666669
69	18.6	-0.383333333333336
70	20.1	0.783333333333331
71	20.5	0.216666666666697
72	20.5	-1.13333333333333
