key	tooltip	clickSelects	group
1995	1995-01	1995	1
1995.08493150685	1995-02	1995.08493150685	2
1995.16164383562	1995-03	1995.16164383562	3
1995.24657534247	1995-04	1995.24657534247	4
1995.32876712329	1995-05	1995.32876712329	5
1995.41369863014	1995-06	1995.41369863014	6
1995.49589041096	1995-07	1995.49589041096	7
1995.58082191781	1995-08	1995.58082191781	8
1995.66575342466	1995-09	1995.66575342466	9
1995.74794520548	1995-10	1995.74794520548	10
1995.83287671233	1995-11	1995.83287671233	11
1995.91506849315	1995-12	1995.91506849315	12
1996	1996-01	1996	13
1996.08469945355	1996-02	1996.08469945355	14
1996.16393442623	1996-03	1996.16393442623	15
1996.24863387978	1996-04	1996.24863387978	16
1996.3306010929	1996-05	1996.3306010929	17
1996.41530054645	1996-06	1996.41530054645	18
1996.49726775956	1996-07	1996.49726775956	19
1996.58196721311	1996-08	1996.58196721311	20
1996.66666666667	1996-09	1996.66666666667	21
1996.74863387978	1996-10	1996.74863387978	22
1996.83333333333	1996-11	1996.83333333333	23
1996.91530054645	1996-12	1996.91530054645	24
1997	1997-01	1997	25
1997.08493150685	1997-02	1997.08493150685	26
1997.16164383562	1997-03	1997.16164383562	27
1997.24657534247	1997-04	1997.24657534247	28
1997.32876712329	1997-05	1997.32876712329	29
1997.41369863014	1997-06	1997.41369863014	30
1997.49589041096	1997-07	1997.49589041096	31
1997.58082191781	1997-08	1997.58082191781	32
1997.66575342466	1997-09	1997.66575342466	33
1997.74794520548	1997-10	1997.74794520548	34
1997.83287671233	1997-11	1997.83287671233	35
1997.91506849315	1997-12	1997.91506849315	36
1998	1998-01	1998	37
1998.08493150685	1998-02	1998.08493150685	38
1998.16164383562	1998-03	1998.16164383562	39
1998.24657534247	1998-04	1998.24657534247	40
1998.32876712329	1998-05	1998.32876712329	41
1998.41369863014	1998-06	1998.41369863014	42
1998.49589041096	1998-07	1998.49589041096	43
1998.58082191781	1998-08	1998.58082191781	44
1998.66575342466	1998-09	1998.66575342466	45
1998.74794520548	1998-10	1998.74794520548	46
1998.83287671233	1998-11	1998.83287671233	47
1998.91506849315	1998-12	1998.91506849315	48
1999	1999-01	1999	49
1999.08493150685	1999-02	1999.08493150685	50
1999.16164383562	1999-03	1999.16164383562	51
1999.24657534247	1999-04	1999.24657534247	52
1999.32876712329	1999-05	1999.32876712329	53
1999.41369863014	1999-06	1999.41369863014	54
1999.49589041096	1999-07	1999.49589041096	55
1999.58082191781	1999-08	1999.58082191781	56
1999.66575342466	1999-09	1999.66575342466	57
1999.74794520548	1999-10	1999.74794520548	58
1999.83287671233	1999-11	1999.83287671233	59
1999.91506849315	1999-12	1999.91506849315	60
2000	2000-01	2000	61
2000.08469945355	2000-02	2000.08469945355	62
2000.16393442623	2000-03	2000.16393442623	63
2000.24863387978	2000-04	2000.24863387978	64
2000.3306010929	2000-05	2000.3306010929	65
2000.41530054645	2000-06	2000.41530054645	66
2000.49726775956	2000-07	2000.49726775956	67
2000.58196721311	2000-08	2000.58196721311	68
2000.66666666667	2000-09	2000.66666666667	69
2000.74863387978	2000-10	2000.74863387978	70
2000.83333333333	2000-11	2000.83333333333	71
2000.91530054645	2000-12	2000.91530054645	72
